date,lag,corr,p_val,regime
2025-01-14T00:00:00,6,-0.2569338231020785,0.7868605043278798,High-Vol
2025-01-15T00:00:00,6,-0.284891725209321,0.4732085214108803,High-Vol
2025-01-16T00:00:00,6,-0.25471381586237485,0.8175754469107979,High-Vol
2025-01-17T00:00:00,6,-0.22747655172467862,1.0,High-Vol
2025-01-22T00:00:00,3,0.20782928329026432,1.0,High-Vol
2025-01-23T00:00:00,6,-0.22228209896223797,1.0,High-Vol
2025-01-24T00:00:00,6,-0.2652226486553568,0.6802187613811734,High-Vol
2025-01-28T00:00:00,6,-0.2579709839673343,0.7728296285002236,High-Vol
2025-01-29T00:00:00,6,-0.2736667393518865,0.5838551727797272,High-Vol
2025-01-30T00:00:00,6,-0.2711212012054857,0.611660473369477,High-Vol
2025-01-31T00:00:00,6,-0.26494236645396896,0.6836242205709475,High-Vol
2025-02-04T00:00:00,6,-0.2689588494220297,0.636113098121551,High-Vol
2025-02-05T00:00:00,6,-0.27297953109575696,0.591258599865365,Low-Vol
2025-02-06T00:00:00,6,-0.2800343793429487,0.5187695237481142,Low-Vol
2025-02-07T00:00:00,6,-0.2857284111057116,0.46570217798140234,Low-Vol
2025-02-11T00:00:00,6,-0.32564928961524103,0.20541749356689953,Low-Vol
2025-02-12T00:00:00,6,-0.31435676613344166,0.26189260199808206,Low-Vol
2025-02-13T00:00:00,6,-0.2934137818910278,0.40121723051331815,Low-Vol
2025-02-14T00:00:00,6,-0.29853719997538813,0.36247032895021203,Low-Vol
2025-02-19T00:00:00,6,-0.282995383980183,0.49058910711726966,Low-Vol
2025-02-20T00:00:00,6,-0.28672580021070165,0.45688198893475684,Low-Vol
2025-02-21T00:00:00,6,-0.2909638200068056,0.4209199216712314,Low-Vol
2025-02-25T00:00:00,6,-0.3122817033858228,0.2735726236575857,Low-Vol
2025-02-26T00:00:00,6,-0.31247119190977113,0.2724882331927523,Low-Vol
2025-02-27T00:00:00,6,-0.2913694776144871,0.4176036056685788,Low-Vol
2025-02-28T00:00:00,-2,-0.2641979376214784,0.5818258825601339,Low-Vol
2025-03-04T00:00:00,0,-0.2295783900537355,1.0,Low-Vol
2025-03-05T00:00:00,0,-0.236951215481151,0.8867668880774857,Low-Vol
2025-03-06T00:00:00,2,0.23821259434831743,0.931658413929104,High-Vol
2025-03-07T00:00:00,2,0.2706590224135636,0.5139859832763769,High-Vol
2025-03-11T00:00:00,2,0.26699896360907455,0.5515717814465027,High-Vol
2025-03-12T00:00:00,2,0.27548915035086435,0.46762019920440223,High-Vol
2025-03-13T00:00:00,2,0.27667930618163755,0.45674015038453875,High-Vol
2025-03-14T00:00:00,0,-0.2704735519128425,0.47122583378740357,High-Vol
2025-03-18T00:00:00,2,0.27775517438777664,0.447085077705492,High-Vol
2025-03-19T00:00:00,2,0.28064050151760844,0.4220191232476469,High-Vol
2025-03-20T00:00:00,2,0.2809106004290668,0.41973333786981337,High-Vol
2025-03-21T00:00:00,0,-0.2723099201509663,0.45416786857521774,High-Vol
